segment_id,song_id,audio_path,valence_mean,arousal_mean
1566,1566,data/processed_audio/1566.wav,6.2,5.3
1170,1170,data/processed_audio/1170.wav,3.1,2.1
279,279,data/processed_audio/279.wav,3.6,4.7
977,977,data/processed_audio/977.wav,7.3,3.5
155,155,data/processed_audio/155.wav,3.6,5.4
341,341,data/processed_audio/341.wav,3.8,4.4
1145,1145,data/processed_audio/1145.wav,4.7,2.4
1775,1775,data/processed_audio/1775.wav,4.6,3.0
1249,1249,data/processed_audio/1249.wav,5.1,5.6
1824,1824,data/processed_audio/1824.wav,6.2,5.7
1290,1290,data/processed_audio/1290.wav,6.6,6.6
83,83,data/processed_audio/83.wav,6.1,5.8
1476,1476,data/processed_audio/1476.wav,4.5,5.1
1254,1254,data/processed_audio/1254.wav,4.7,6.2
2049,2049,data/processed_audio/2049.wav,4.4,3.8
1189,1189,data/processed_audio/1189.wav,4.8,3.2
1808,1808,data/processed_audio/1808.wav,5.4,5.3
730,730,data/processed_audio/730.wav,3.7,4.5
1748,1748,data/processed_audio/1748.wav,5.4,4.1
1386,1386,data/processed_audio/1386.wav,5.9,5.0
1111,1111,data/processed_audio/1111.wav,3.2,2.9
1756,1756,data/processed_audio/1756.wav,4.4,3.9
623,623,data/processed_audio/623.wav,3.8,5.9
799,799,data/processed_audio/799.wav,4.1,5.6
1857,1857,data/processed_audio/1857.wav,5.3,5.0
107,107,data/processed_audio/107.wav,6.0,4.8
1809,1809,data/processed_audio/1809.wav,4.0,4.1
1140,1140,data/processed_audio/1140.wav,5.9,5.4
386,386,data/processed_audio/386.wav,5.0,5.5
1434,1434,data/processed_audio/1434.wav,3.7,2.8
169,169,data/processed_audio/169.wav,2.4,2.8
191,191,data/processed_audio/191.wav,5.1,6.3
1511,1511,data/processed_audio/1511.wav,5.5,5.6
1977,1977,data/processed_audio/1977.wav,4.7,5.2
112,112,data/processed_audio/112.wav,6.8,6.4
1621,1621,data/processed_audio/1621.wav,6.1,6.0
1387,1387,data/processed_audio/1387.wav,6.1,4.5
242,242,data/processed_audio/242.wav,3.5,4.7
1285,1285,data/processed_audio/1285.wav,5.1,4.9
1071,1071,data/processed_audio/1071.wav,6.5,5.3
1056,1056,data/processed_audio/1056.wav,4.2,5.0
400,400,data/processed_audio/400.wav,5.1,5.6
777,777,data/processed_audio/777.wav,6.2,5.1
1588,1588,data/processed_audio/1588.wav,4.9,5.8
839,839,data/processed_audio/839.wav,5.7,4.4
1543,1543,data/processed_audio/1543.wav,6.1,5.4
401,401,data/processed_audio/401.wav,5.5,6.4
39,39,data/processed_audio/39.wav,7.3,5.4
188,188,data/processed_audio/188.wav,4.0,3.3
1029,1029,data/processed_audio/1029.wav,3.9,4.5
121,121,data/processed_audio/121.wav,3.1,3.9
1534,1534,data/processed_audio/1534.wav,5.7,5.7
334,334,data/processed_audio/334.wav,5.9,5.9
2056,2056,data/processed_audio/2056.wav,5.0,4.6
656,656,data/processed_audio/656.wav,2.6,4.1
502,502,data/processed_audio/502.wav,4.8,4.6
52,52,data/processed_audio/52.wav,4.6,5.1
1783,1783,data/processed_audio/1783.wav,4.2,3.3
453,453,data/processed_audio/453.wav,4.6,5.6
1541,1541,data/processed_audio/1541.wav,5.2,4.6
72,72,data/processed_audio/72.wav,6.7,5.6
653,653,data/processed_audio/653.wav,5.3,6.5
1729,1729,data/processed_audio/1729.wav,5.1,5.4
614,614,data/processed_audio/614.wav,4.3,3.7
1091,1091,data/processed_audio/1091.wav,5.7,5.8
364,364,data/processed_audio/364.wav,5.5,6.5
324,324,data/processed_audio/324.wav,3.3,4.7
1817,1817,data/processed_audio/1817.wav,6.6,6.0
1924,1924,data/processed_audio/1924.wav,5.3,5.7
1180,1180,data/processed_audio/1180.wav,3.3,2.6
1406,1406,data/processed_audio/1406.wav,3.9,3.7
101,101,data/processed_audio/101.wav,3.4,2.8
204,204,data/processed_audio/204.wav,3.6,2.2
1272,1272,data/processed_audio/1272.wav,4.0,3.2
367,367,data/processed_audio/367.wav,3.1,2.7
128,128,data/processed_audio/128.wav,3.6,4.0
757,757,data/processed_audio/757.wav,6.0,6.1
718,718,data/processed_audio/718.wav,5.9,6.5
1933,1933,data/processed_audio/1933.wav,5.2,7.0
748,748,data/processed_audio/748.wav,5.1,4.4
1445,1445,data/processed_audio/1445.wav,5.1,3.6
1443,1443,data/processed_audio/1443.wav,5.8,2.9
1843,1843,data/processed_audio/1843.wav,4.9,4.7
1677,1677,data/processed_audio/1677.wav,6.8,6.4
1500,1500,data/processed_audio/1500.wav,3.8,3.2
2015,2015,data/processed_audio/2015.wav,6.6,5.4
1890,1890,data/processed_audio/1890.wav,6.0,5.8
1393,1393,data/processed_audio/1393.wav,6.2,4.1
1912,1912,data/processed_audio/1912.wav,5.4,5.5
872,872,data/processed_audio/872.wav,3.4,5.5
1986,1986,data/processed_audio/1986.wav,4.0,5.1
463,463,data/processed_audio/463.wav,5.0,5.7
1150,1150,data/processed_audio/1150.wav,4.1,2.3
1546,1546,data/processed_audio/1546.wav,5.3,4.4
